year,raw_coal_nation,raw_oil_nation,natural_gas_nation,Cement_nation,CO2_output
1997,2601.162688,524.6818001,33.56195333,148.6174024,3308.023843
1998,2516.545907,525.6420085,33.92972,149.2388796,3225.356515
1999,2346.38618,574.309054,35.54356667,160.6102901,3116.84909
2000,2280.813148,654.7926411,47.16066667,169.3325328,3152.098988
2001,2390.397523,650.5652663,51.20393667,191.9540864,3284.120812
2002,2719.168255,664.451876,45.59225,209.5870551,3638.799436
2003,3257.352337,747.1155201,53.74369,250.1577792,4308.369327
2004,3760.827682,845.673147,68.99302667,271.0502918,4946.544147
2005,4470.424017,950.7137933,77.33700333,310.2347958,5808.709609
2006,4800.63903,990.2989396,99.38537217,358.9195079,6249.24285
2007,5003.424453,1035.197232,129.2194872,395.0927856,6562.933959
2008,5828.561061,1106.701368,147.5408243,402.9800764,7485.78333
2009,6303.682813,1191.446061,181.0775908,477.1946087,8153.401073
2010,7033.760184,1341.47684,213.2698705,546.2467773,9134.753671
2011,8011.519632,1408.714425,246.2803567,609.3680324,10275.88245
2012,8175.501884,1457.204217,290.7127928,641.3465863,10564.76548
2013,8733.377265,1496.336124,312.6644033,701.2695559,11243.64735
2014,8692.534258,1565.304915,352.9651003,723.2309534,11334.03523
2015,8476.47947,1642.003569,377.980311,684.3971455,11180.8605
2016,8505.065619,1691.773637,408.5001179,698.6247471,11303.96412
2017,8635.942147,1767.092106,463.9344887,686.3438255,11553.31257
2018,8837.219674,1873.596601,535.3644267,639.1580406,11885.33874
2019,9010.96063,2014.453786,584.58675,662.479877,12272.48104
2020,9207.405094,2085.834906,604.1908767,705.547678,12602.97855
2021,9685.266718,2166.267179,682.86482,721.4448822,13255.8436
