Items ,Raw coal total ,Crude oil total ,Natural gas total ,Cement ,Total apparent CO2 emissions (mt) , Raw Coal Indigenous production , Raw Coal  Import , Raw Coal Export (-) , Raw Coal Move in , Raw Coal Move out (-) , Raw Coal Stock decrease , Raw Coal  Loss , Raw Coal Non-energy use , Crude Oil Indigenous production , Crude Oil  Import , Crude Oil Export (-) , Crude Oil Move in , Crude Oil Move out (-) , Crude Oil  Stock decrease , Crude Oil Loss , Crude Oil Non-energy use , Natural Gas  Indigenous production , Natural Gas Import , Natural Gas Export (-) , Natural Gas  Move in , Natural Gas  Move out (-) , Natural Gas  Stock decrease , Natural Gas  Loss , Natural Gas  Non-energy use 
1997,2422.278001,421.4494181,39.57169333,142.7395234,3026.038636,2511.802993,3.0080204,-47.8080922,0,0,-21.35202703,0,23.37289387,493.9047417,0,-60.92760007,0,0,-4.2596378,5.787674933,1.4804108,49.11415667,0,-0.067063333,0,0,0,1.20065,8.27475
1998,2234.370541,524.0061207,38.61117333,165.2345142,2962.222349,2287.083333,2.762334667,-50.20916377,0,0,17.5779736,0,22.84393723,494.6993333,83.94525333,-47.9336,0,0,1.380241867,6.021812133,2.063295667,50.36023667,0,0,0,0,0,1.172526667,10.57653667
1999,1884.608506,574.0893583,42.86212333,173.0684444,2674.628432,1912.001667,2.626546267,-58.89825077,0,0,45.5405863,0,16.66204247,491.6266667,112.5016955,-22.0227238,0,0,0.079889333,5.6653828,2.4307866,54.51167333,0,0,0,0,0,1.269876667,10.37967333
2000,2353.721069,648.6595984,38.20014,173.4882,3214.069007,2532.59624,4.058378133,-100.7500461,0,0,-23.78566667,0,58.39783693,500.8446667,215.9018451,-31.66690267,0,0,-28.05160307,5.866027933,2.502379733,58.84266667,0,-6.790703333,0,0,0,1.44078,12.41104333
2001,2474.84186,653.4136283,44.07791667,192.0979334,3364.431338,2692.402986,4.955065867,-164.9054781,0,0,3.933783333,0,61.54449767,503.7904322,185.1588933,-23.19863333,0,0,-3.985555933,5.773540667,2.577967333,65.61173667,0,-6.57437,0,0,0,1.345593333,13.61385667
2002,2655.08847,691.1143265,48.08008333,210.685,3604.96788,2836.715749,20.96878373,-153.5009828,0,0,14.92825033,0,64.02333007,513.1353333,213.2627317,-23.55076093,0,0,-3.232138067,5.791362133,2.709477467,70.65663,0,-6.929156667,0,0,0,1.36939,14.278
2003,3179.650463,765.7343437,53.77830333,250.520448,4249.683558,3357.252988,20.67131587,-172.041544,0,0,49.7868767,0,76.01917363,521.1236521,279.6744273,-24.9909198,0,0,-1.891840867,4.940233467,3.240741533,75.74262667,0,-4.051923333,0,0,0,1.438616667,16.47378333
2004,3665.171843,883.4260805,65.14878333,280.9578629,4894.704569,3883.670227,34.67167733,-158.5655001,0,0,-0.340500967,0,94.26406073,540.3997192,377.0776533,-16.87385627,0,0,-9.151937667,4.572435267,3.4530628,89.6918,0,-5.278533333,0,0,0,1.678746667,17.58573667
2005,4202.780449,916.3401786,79.06983333,310.6072288,5508.79769,4327.428798,48.83222813,-131.2440026,0,0,65.19852497,0,107.4350992,557.2370107,389.6675977,-24.78658747,0,0,2.421875867,4.724532267,3.475186,106.6956,0,-6.422936667,0,0,0,2.234723333,18.96810667
2006,4669.649778,978.8108719,103.2342667,359.403909,6111.098826,4701.751519,71.19428653,-115.7723413,0,0,127.8695484,0,115.3932344,567.7234075,446.0737688,-19.4721032,0,0,-3.414961733,6.094634333,6.0046052,126.6696567,2.055166667,-6.26934,0,0,0,2.1417,17.07951667
2007,5063.532226,1034.534911,130.4316933,395.5568738,6624.055704,5049.681115,96.11676653,-97.32454417,0,0,129.6139526,0,114.5550641,572.6166292,501.3366006,-11.93331553,0,0,-16.113064,6.094634333,5.277305,149.7892,8.6966,-5.624666667,0,0,0,2.403463333,20.02597667
2008,5266.589442,1080.164625,151.1239767,406.84,6904.718045,5312.264446,81.25995093,-83.39730447,0,0,76.08888393,0,119.6265341,585.1574109,549.6545912,-13.020425,0,0,-31.03762053,6.156087667,4.433243467,173.7156667,9.959986667,-7.020016667,0,0,0,2.99189,22.53977
2009,5761.467927,1160.876204,167.5501667,477.7399487,7567.634247,5700.059735,245.6490388,-40.98435037,0,0,-18.96852027,0,124.2879759,582.2396067,625.7574774,-15.58610167,0,0,-20.78781907,5.7354396,5.011519333,184.46527,16.51488667,-6.942136667,0,0,0,4.707413333,21.78044
2010,6385.743607,1306.785468,185.6096733,546.8836272,8425.022376,6272.915743,340.9404577,-34.82349677,0,0,-63.65446927,0,129.6346278,623.7943507,730.3169441,-9.31018,0,0,-27.345197,5.89952,4.770929533,207.2278633,7.744733333,-8.718233333,0,0,0,3.701463333,16.94322667
2011,7094.276628,1342.845055,227.3879667,610.0446654,9274.554315,6887.661604,413.9504717,-26.5508419,0,0,-52.979828,0,127.8047782,623.3687863,779.7776595,-7.7256058,0,0,-44.64584667,5.43862,2.491318133,227.8790433,30.94864667,-6.896706667,0,0,0,3.151976667,21.39104
2012,7546.384007,1427.88848,250.0359033,634.6843488,9858.992739,7218.26938,537.0868947,-16.71857917,0,0,-52.58096067,0,139.6727281,637.5107347,832.7759359,-7.4730326,0,0,-28.3471936,5.460128667,1.117836133,239.2819733,47.17148333,-6.252033333,0,0,0,3.64089,26.52463
2013,7668.085188,1486.244872,288.1404294,702.127378,10144.59787,7271.684486,609.0232676,-13.45536867,0,0,-48.056195,0,151.1110021,645.0095777,865.6995593,-4.9694238,0,0,-10.24549973,6.521427733,2.727913467,261.4604667,59.92866,-5.93835,0,0,0,2.630613333,24.67973393
2014,7399.441669,1575.47204,313.9559133,724.1957745,10013.0654,7087.980464,542.3757504,-10.25363497,0,0,-60.85068807,0,159.8102224,649.6514552,947.5302034,-1.844214533,0,0,-5.397139,3.313563733,11.1547018,281.5729767,68.73342667,-5.644136667,0,0,0,4.395893333,26.31046
2015,7085.031577,1670.627917,332.4978433,685.58012,9773.737458,6854.922281,380.0082147,-9.509326567,0,0,33.59085033,0,173.9804418,659.2584548,1030.826817,-8.8050336,0,0,-3.803961333,2.679979867,4.1683796,291.2063,73.69178667,-7.020016667,0,0,0,4.408873333,20.97135333
2016,6791.231701,1759.56103,347.46162,700.4360279,9598.69038,6240.268452,475.9059316,-15.82899523,0,0,243.9500056,0,153.0636925,613.5660579,1170.707201,-9.0354836,0,0,-13.6066898,1.241050067,0.829005467,296.0846167,83.51548333,-7.309903333,0,0,0,4.81558,20.01299667
2017,6875.982383,1841.232203,380.0544,677.3422784,9774.611264,6446.943573,504.6353297,-14.6808794,0,0,88.09662033,0,149.0122616,588.4344099,1288.867827,-14.93531087,0,0,-19.72037467,1.414348467,0,320.24905,90.85134667,-7.64522,0,0,0,5.57491,17.82586667
2018,7041.990947,1961.003213,427.0831033,641.5595961,10071.63686,6765.623935,525.4543551,-8.952193067,0,0,-54.3855609,0,185.7495897,581.7301585,1419.22018,-8.070666267,0,0,-31.0075084,0.868950133,0,346.4773033,109.2916,-7.273126667,0,0,0,4.83505,16.57762333
2019,7207.557508,2088.603686,457.42818,681.2553817,10434.84476,7037.505449,558.3693515,-10.9664731,0,0,-178.277414,0,199.0734053,586.9226579,1553.773789,-2.48886,0,0,-48.56441847,1.039483133,0,381.1230867,108.4132867,-7.578156667,0,0,0,4.532183333,19.99785333
2020,7407.872153,2149.392401,483.9506467,695.902726,10737.11793,7138.585567,565.5259031,-5.796018067,0,0,-80.44330763,0,209.9999917,598.4589849,1665.40592,-5.033335267,0,0,-108.8974575,0.541711133,0,416.43085,103.0893233,-11.00055,0,0,0,5.65279,18.91618667
2021,7845.469946,2221.238108,537.5450667,690.8273679,11295.08049,7548.900759,602.1513315,-4.730786133,0,0,-88.2049366,0,212.6464215,611.0953266,1576.038639,-8.022118133,0,0,42.72758087,0.601320867,0,449.0733867,126.8189267,-11.87021,0,0,0,5.60736,20.86967667
